Injury Type,Body Part,Category,Severity,Common Causes,First Aid Steps,Red Flag / Emergency Signs,Typical Recovery Time,Male-Specific Notes,Female-Specific Notes,When to See a Doctor
Cut/Laceration,Skin/Soft tissue,Wound,Mild,"Sharp object, fall, kitchen accident","Clean wound, apply pressure to stop bleeding, cover with sterile bandage","Deep wound, won't stop bleeding, exposed fat/muscle/bone",3-14 days depending on depth,Higher incidence in workplace/occupational injuries. Slower wound healing with age,Similar treatment. Pregnancy affects healing speed. May be more visible scarring concern,"Deep, gaping, or won't stop bleeding after 10 min pressure"
Abrasion (Scrape),Skin,Wound,Mild,"Fall, friction against rough surface","Clean with water, remove debris, apply antiseptic and bandage","Signs of infection (pus, spreading redness, warmth)",3-7 days,,,Signs of infection or large/dirty area
Puncture wound,Skin/Soft tissue,Wound,Moderate,"Nail, needle, animal bite, splinter","Clean thoroughly, do not force out deep objects, cover","Deep puncture, rusty object, near joint/eye, signs of infection",1-2 weeks,,,Any deep puncture (tetanus risk) or from a dirty/rusty object
Bruise (Contusion),Soft tissue,Soft tissue,Mild,"Blunt impact, fall, bump","Ice pack (wrapped) for 15-20 min, rest, elevate if possible","Rapid severe swelling, inability to move area, numbness",1-2 weeks,Common in contact sports. Higher pain tolerance may delay seeking care,May bruise more easily (genetic/blood clotting factors). Hormonal cycle affects bruising,"Severe pain, large swelling, or no improvement after 2 weeks"
Sprain (Ankle),Ankle,Ligament,Moderate,"Twisting/rolling ankle, uneven surface","RICE: Rest, Ice, Compression, Elevation","Unable to bear weight at all, visible deformity, severe swelling",2-6 weeks,Higher incidence in sports. More likely inversion injuries,Higher ankle sprain rate in women athletes. Hormonal factors (ligament laxity) in luteal phase,"Cannot bear weight, severe swelling, or no improvement in a few days"
Sprain (Wrist),Wrist,Ligament,Moderate,"Fall onto outstretched hand, twisting","RICE, avoid gripping/lifting with injured wrist","Visible deformity, severe pain, numbness in fingers",2-4 weeks,Often from fall on outstretched hand in sports,Osteoporosis risk postmenopause increases severity. May be fall-related,"Deformity, severe swelling, or persistent pain"
Strain (Muscle pull - Hamstring),Thigh/Leg,Muscle,Moderate,"Sudden sprinting, inadequate warm-up","RICE, gentle stretching once pain subsides","Sudden 'pop' sensation, inability to walk, large bruising",2-8 weeks,Common sports injury. Higher muscle mass aids recovery,Increased risk mid-cycle due to ligament laxity. Pregnancy affects all muscle strains,"Severe pain, inability to walk, or large bruise/swelling"
Strain (Lower back),Lower back,Muscle,Moderate,"Heavy lifting, sudden twist, poor posture","Rest briefly, ice/heat alternating, gentle movement as tolerated","Numbness/weakness in legs, loss of bladder/bowel control",2-6 weeks,Often occupational/lifting. Disc herniation more common,Pregnancy causes significant strain. Postpartum recovery longer. Osteoporosis risk,"Radiating leg pain, numbness, or loss of bladder/bowel control"
Fracture (Simple/Closed),Bone (varies),Bone,Severe,"Fall, direct impact, sports injury","Immobilize area, apply cold pack, avoid moving the person unnecessarily","Visible deformity, bone through skin, severe swelling, numbness",6-12 weeks,Higher incidence before age 50. Usually trauma-related,Osteoporosis risk increases significantly postmenopause. May occur with minimal trauma,Suspected fracture always needs medical imaging/treatment
Fracture (Compound/Open),Bone (varies),Bone,Emergency,"High-impact trauma, severe fall, accident",Do not push bone back in; cover wound with clean cloth; keep still; call emergency services,"Bone visible through skin, heavy bleeding, shock symptoms",3+ months,"Usually high-energy trauma (falls, accidents). Faster healing typical",Similar trauma mechanism. Postmenopausal women at higher risk of complications,Always a medical emergency
Dislocation (Shoulder),Shoulder,Joint,Severe,"Fall on outstretched arm, sports collision","Immobilize in position found, do not attempt to relocate it yourself, ice pack","Visible deformity, numbness/tingling in arm, no pulse in limb",4-12 weeks,Higher incidence in contact sports. Faster typical recovery,Genetic ligament laxity more common. Recurrent dislocations more likely. Slower recovery,Always needs medical relocation and evaluation
Dislocation (Finger),Finger,Joint,Moderate,"Jammed finger, ball sports, fall","Immobilize, avoid trying to pop it back yourself, ice pack","Numbness, severe deformity, no blood flow to fingertip",3-6 weeks,,,Any suspected dislocation needs medical evaluation
Concussion / Mild Head Injury,Head,Head injury,Severe,"Fall, sports collision, blow to head","Rest, monitor closely, cold pack on area (no swelling relief needed internally)","Repeated vomiting, worsening headache, confusion, unequal pupils, loss of consciousness",1-4 weeks,,,"Any head injury with vomiting, confusion, or loss of consciousness — seek care immediately"
Whiplash,Neck,Soft tissue/Ligament,Moderate,"Car accident, sudden jolt to head/neck","Gentle movement as tolerated, ice/heat, OTC pain relief","Numbness/weakness in arms, severe neck pain, loss of bladder control",2-6 weeks,,,"Severe pain, numbness, or symptoms worsening after a few days"
Burn (First-degree),Skin (surface),Burn,Mild,"Brief hot surface/liquid contact, sunburn","Cool running water 10-20 min, do not apply ice, loose dressing","Covers large area, or on face/hands/genitals",3-6 days,,,"Large area, or on sensitive areas (face, hands, groin)"
Burn (Second-degree),Skin (deeper),Burn,Severe,"Hot liquid/surface contact, flame, chemical","Cool running water, do not pop blisters, cover loosely with sterile non-stick dressing","Blistering over large area, signs of infection, on face/joints",2-3 weeks,,,"Blistering, large area, on face/hands/joints, or unclear how deep"
Burn (Third-degree),Skin (full thickness),Burn,Emergency,Prolonged flame/chemical/electrical contact,"Call emergency services, cover loosely with clean cloth, do not remove stuck clothing","Charred/white skin, numbness at site, signs of shock","Months, often needs surgery",,,Always a medical emergency
Frostbite,Extremities,Cold injury,Severe,"Prolonged cold exposure, inadequate clothing","Move to warmth, warm gradually with lukewarm (not hot) water, do not rub area","Skin white/waxy and hard, numbness, blistering","Weeks, depends on severity",,,Any suspected frostbite needs medical evaluation
Chemical burn/exposure,Skin/Eyes,Burn,Emergency,"Contact with corrosive chemical, splash injury","Rinse with large amounts of water for 15-20 min, remove contaminated clothing, call poison control/emergency","Severe pain, eye involvement, large area affected",Varies widely,,,Always seek immediate medical attention
Eye injury (foreign object/scratch),Eye,Eye injury,Moderate,"Dust/debris, scratch from fingernail or object",Do not rub; rinse gently with clean water; blink to encourage tearing,"Object embedded, vision changes, severe pain, chemical involved",1-7 days for minor scratches,,,"Object embedded, vision changes, or pain persists"
