Symptom,Category,Likely Causes,Severity,Commonly Co-occurs With,Red Flag / Emergency Signs,Self-Care Tips,Male-Specific Notes,Female-Specific Notes,When to See a Doctor
Fever,General,"Infection (viral/bacterial), inflammation, heat exhaustion, immune response",Moderate,"Chills, fatigue, headache, body aches","Temp above 103°F/39.4°C, stiff neck, confusion, difficulty breathing, seizure","Rest, fluids, light clothing, paracetamol/acetaminophen per label",May spike higher; higher metabolic rate. Recovery typically 5-7 days,Hormonal cycle affects baseline temp. Higher in luteal phase. May worsen PMS,"Fever lasts >3 days, or in infants under 3 months with any fever"
Fatigue,General,"Poor sleep, anemia, stress, thyroid issues, viral illness, overtraining",Mild,"Low mood, weakness, poor concentration",Sudden extreme fatigue with chest pain or fainting,"Prioritize sleep, hydrate, balanced meals, moderate activity",Often indicates infection or serious condition. May mask depression initially,"Common with anemia, thyroid issues, hormonal imbalances, menstrual cycle. Iron deficiency more common",Persists beyond 2 weeks or interferes with daily life
Chills,General,"Fever onset, cold exposure, infection",Mild,"Fever, shivering, body aches",Chills with high fever and confusion,"Warm layers, warm fluids, rest",,,Recurrent chills with fever over 48 hours
Night sweats,General,"Infection, hormonal changes, medication side effect, anxiety",Moderate,"Fever, weight loss, fatigue",Drenching sweats with unexplained weight loss or fever,"Breathable bedding/clothing, track frequency",,,Occurs regularly for more than a week
Unexplained weight loss,General,"Metabolic changes, chronic illness, stress, thyroid issues",Severe,"Fatigue, appetite changes","Weight loss with persistent pain, blood in stool, or severe fatigue",Track diet and weight; ensure adequate calorie intake,,,Loss of more than 5% body weight in 6-12 months
Loss of appetite,General,"Illness, stress, medication, digestive upset",Mild,"Nausea, fatigue, weight loss",Combined with severe abdominal pain or vomiting,"Small frequent meals, stay hydrated",,,Lasts more than a week or causes noticeable weight loss
Headache,Neurological,"Tension, dehydration, eye strain, migraine, sinus congestion",Mild,"Neck stiffness, light sensitivity, nausea","Sudden 'worst-ever' headache, headache with fever/stiff neck, or after head injury","Rest in dark quiet room, hydration, OTC pain relief",Often tension-type. Less likely migraine (except cluster headaches more common),Migraines 3x more common. Hormonal fluctuations trigger migraines. Estrogen withdrawal effect,"Frequent, worsening, or unlike usual headaches"
Dizziness,Neurological,"Dehydration, low blood pressure, inner ear issues, low blood sugar",Moderate,"Nausea, blurred vision, unsteadiness","Dizziness with chest pain, slurred speech, or one-sided weakness","Sit/lie down, hydrate, avoid sudden movements",,,Recurrent episodes or accompanied by fainting
Migraine,Neurological,"Triggers: stress, hormones, certain foods, sleep changes",Moderate,"Nausea, light/sound sensitivity, visual aura","Sudden severe migraine unlike prior ones, with confusion or vision loss","Dark quiet rest, hydration, known trigger avoidance",,,Migraines increasing in frequency or severity
Numbness/tingling in limbs,Neurological,"Nerve compression, poor circulation, vitamin deficiency",Moderate,"Weakness, pain, coldness in limb","Sudden numbness on one side of body, face drooping, slurred speech","Change position, gentle stretching",,,"Persistent, spreading, or affecting one side suddenly"
Seizure,Neurological,"Epilepsy, high fever (children), head injury, low blood sugar",Emergency,"Confusion, loss of consciousness, muscle jerking","Any first-time seizure, seizure lasting over 5 minutes, or repeated seizures","Move away from hazards, do not restrain, time the episode",,,Always requires medical evaluation
